White,WhiteElo,Black,BlackElo,Result
ab0baa,1444,dfgl,1714,White
Ali_Bayat_18,1716,A28042008F2,1823,White
janesk,1795,Pele1960,1881,Black
UghThisGuyAgain,1500,karthik_yuvaraj_2009,2111,White
Kabardigo,2029,papyg,1760,White
P3d4s1,1500,Serjo-1964,1647,White
smn12238,1208,sultane4e5,1097,Black
coldthecold,2010,slaviclev,1941,White
aydin071285,1579,Youzhik10,2201,Black
alirezaparniaa,1678,aliqasim56,1500,Black
KingAbbasov,1903,Shadow-data,2386,Black
glistasaji,2091,millanwe,2236,Black
Tristifer_Botley,1218,atidra_krass,1674,White
shahvar1979,1809,ADomeirat,1671,White
soyleyenda_777,1153,shahvar1979,1809,Black
msalnave2,1700,saltamonte1956,2035,Black
Z72,1483,alcalino1,1602,Black
ICopyYourMoves,2016,saliheey,1130,White
michelFrance,1847,FA27,2161,White
Mattia000,1054,ByLitdeg,1245,White
romanqoy,515,eyurdagul,1295,Black
kharislorenzo,1679,benzema17,1550,Black
vtan01,1500,thu-2011,1572,White
Freddzo,1849,DracoX,1500,Black
johnlocke88,1948,mehdi-f,1500,White
Hossine24,1076,goldenknight6,1996,White
AntonioITA,2439,deeznuta,1660,Black
efeyigit13,1320,Boris52,1937,Black
ylmzfrt,1848,Mars0808,1828,Black
Cl1ve,1707,ENTYPE,2558,Black
Cl1ve,1324,tg-one,1583,White
fmvarganowak,2203,M_Wizon,1500,Black
csdodo,2292,PlayingChess1369,2366,White
Captaincodd,1580,GAOSLATERCERA,1537,White
serjo-1964,1647,lanetica,1642,White
IvahnenkoVladimir,2308,Yur_y-38,2176,Black
KOMO435,953,musliiman35,1500,Black
Norm53,2391,Knight_ACE1,2075,White
wezly94,1921,bebonite,897,White
Langelomisterioso,1644,deeznuta,1660,Draw
Lakers129,1065,cloudworrior,1500,Black
jojo0193,1499,maxtop13,1728,White
maximus1112,1176,tripce,1175,Black
aleksandr454017,1500,alagiampi,1500,White
ERFAN_the_great,2205,RUCHIKAAA,2072,White
